Frame No., x, y
300, -, -
301, -, -
302, -, -
303, -, -
304, -, -
305, -, -
306,1920,175
307,1912,179
308,1906,176
309,1894,171
310,1884,178
311,1880,175
312,1868,178
313,1862,173
314,1853,175
315,1844,175
316,1838,172
317,1829,171
318,1821,173
319,1813,173
320,1807,171
321,1800,171
322,1794,171
323,1782,168
324,1779,169
325,1770,169
326,1766,168
327,1757,165
328,1750,165
329,1744,165
330,1738,165
331,1733,166
332,1726,166
333,1710,165
334,1698,159
335,1683,160
336,1661,160
337,1649,165
338,1632,163
339,1618,163
340,1602,163
341,1587,160
342,1574,162
343,1559,162
344,1549,160
345,1536,162
346,1525,162
347,1513,160
348,1503,160
349,1491,160
350,1479,160
351,1472,158
352,1460,159
353,1450,162
354,1441,160
355,1428,160
356,1422,159
357,1407,160
358,1398,159
359,1391,158
360,1383,158
361,1372,158
362,1366,156
363,1355,156
364,1349,156
365,1338,156
366,1330,156
367,1320,155
368,1311,155
369,1304,155
370,1296,155
371,1286,153
372,1280,153
373,1274,153
374,1265,153
375,1256,155
376,1248,155
377,1243,155
378, -, -
379, -, -
380, -, -
381,1196,147
382,1157,129
383,1122,115
384,1084,102
385,1045,88
386,1008,76
387, -, -
388, -, -
389, -, -
390,859,36
391,825,23
392,790,14
393,750,4
394, -, -
395, -, -
396, -, -
397, -, -
398, -, -
399, -, -
400, -, -
401, -, -
402, -, -
403, -, -
404, -, -
405, -, -
406, -, -
407, -, -
408, -, -
409, -, -
410, -, -
411, -, -
412, -, -
413, -, -
414, -, -
415, -, -
416, -, -
417, -, -
418, -, -
419, -, -
420, -, -
421, -, -
422, -, -
423, -, -
424, -, -
425, -, -
426, -, -
427, -, -
428, -, -
429, -, -
430, -, -
431, -, -
432, -, -
433, -, -
434, -, -
435, -, -
436, -, -
437, -, -
438, -, -
439, -, -
440, -, -
441, -, -
442, -, -
443, -, -
444, -, -
445, -, -
446, -, -
447, -, -
448, -, -
449, -, -
450, -, -
451, -, -
452, -, -
453, -, -
454, -, -
455, -, -
456, -, -
457, -, -
458, -, -
459, -, -
460, -, -
461, -, -
462, -, -
463, -, -
464, -, -
465, -, -
466, -, -
467, -, -
468, -, -
469, -, -
470, -, -
471, -, -
472, -, -
473, -, -
474, -, -
475, -, -
476, -, -
477, -, -
478, -, -
479, -, -
480, -, -
481, -, -
482, -, -
483, -, -
484, -, -
485, -, -
486, -, -
487, -, -
488, -, -
489, -, -
490, -, -
491, -, -
492, -, -
493, -, -
494, -, -
495, -, -
496, -, -
497, -, -
498, -, -
499, -, -
500, -, -
501, -, -
502, -, -
503, -, -
504, -, -
505, -, -
506, -, -
507, -, -
508, -, -
509, -, -
510, -, -
511, -, -
512, -, -
513, -, -
514, -, -
515, -, -
516, -, -
517, -, -
518, -, -
519, -, -
520, -, -
521, -, -
522, -, -
523, -, -
524, -, -
525, -, -
526, -, -
527, -, -
528, -, -
529, -, -
530, -, -
531, -, -
532, -, -
533, -, -
534, -, -
535, -, -
536, -, -
537, -, -
538, -, -
539, -, -
540, -, -
541, -, -
542, -, -
543, -, -
544, -, -
545, -, -
546, -, -
547, -, -
548, -, -
549, -, -
550, -, -
551, -, -
552, -, -
553, -, -
554, -, -
555, -, -
556, -, -
557, -, -
558, -, -
559, -, -
560, -, -
561, -, -
562, -, -
563, -, -
564, -, -
565, -, -
566, -, -
567, -, -
568, -, -
569, -, -
570, -, -
571, -, -
572, -, -
573, -, -
574, -, -
575, -, -
576, -, -
577, -, -
578, -, -
579, -, -
580, -, -
581, -, -
582, -, -
583, -, -
584, -, -
585, -, -
586, -, -
587, -, -
588, -, -
589, -, -
590, -, -
591, -, -
592, -, -
593, -, -
594, -, -
595, -, -
596, -, -
597, -, -
598, -, -
599, -, -
600, -, -
601, -, -
602, -, -
603, -, -
604, -, -
605, -, -
606, -, -
607, -, -
608, -, -
609, -, -
610, -, -
611, -, -
612, -, -
613, -, -
614, -, -
615, -, -
616, -, -
617, -, -
618, -, -
619, -, -
620, -, -
621, -, -
622, -, -
623, -, -
624, -, -
625, -, -
626, -, -
627, -, -
628, -, -
629, -, -
630, -, -
631, -, -
632, -, -
633, -, -
634, -, -
635, -, -
636, -, -
637, -, -
638, -, -
639, -, -
640, -, -
641, -, -
642, -, -
643, -, -
644, -, -
645, -, -
646, -, -
647, -, -
648, -, -
649, -, -
650, -, -
651, -, -
652, -, -
653, -, -
654, -, -
655, -, -
656, -, -
657,440,2
658,466,13
659,485,18
660,505,27
661,527,34
662,549,44
663, -, -
664,596,71
665,609,75
666,629,86
667,649,95
668,672,108
669,689,120
670,703,130
671, -, -
672, -, -
673, -, -
674,685,171
675,683,166
676,679,160
677,672,152
678,664,142
679,660,140
680,654,131
681,649,127
682,645,124
683,640,118
684,636,117
685,629,115
686,626,114
687,620,114
688,617,114
689,611,114
690,605,115
691,599,117
692,598,121
693,593,127
694,586,129
695,581,133
696,580,140
697,574,144
698,570,149
699,564,144
700,561,139
701,555,133
702,549,131
703,546,129
704,540,127
705,540,127
706,533,126
707,528,126
708,527,127
709,519,127
710,519,127
711,519,127
712,519,127
713,516,131
714,515,133
715,515,129
716,512,127
717,511,123
718,511,123
719, -, -
720, -, -
721, -, -
722, -, -
723, -, -
724, -, -
725,513,118
726, -, -
727, -, -
728,516,114
729,516,114
730,516,114
731,516,114
732,516,114
733,516,111
734,516,111
735,515,108
736,515,108
737,515,108
738,515,108
739,515,108
740,513,107
741,513,104
742,513,104
743,513,104
744,513,104
745,513,102
746,513,102
747,513,101
748, -, -
749, -, -
750, -, -
751,511,98
752, -, -
753, -, -
754, -, -
755, -, -
756, -, -
757, -, -
758, -, -
759, -, -
760,512,89
761,512,89
762,512,89
763,512,89
764,509,85
765,509,85
766,509,85
767,509,85
768,509,85
769,509,85
770,509,85
771,509,85
772,509,85
773,509,85
774,509,85
775,509,85
776,509,85
777,508,84
778, -, -
779, -, -
780, -, -
781, -, -
782, -, -
783, -, -
784, -, -
785,503,79
786,503,79
787,506,79
788,506,79
789,506,79
790,506,75
791, -, -
792, -, -
793, -, -
794, -, -
795, -, -
796,506,75
797,506,75
798,506,75
799, -, -
800, -, -
801, -, -
802, -, -
803, -, -
804, -, -
805, -, -
806, -, -
807, -, -
808,505,75
809, -, -
810, -, -
811,503,72
812,503,72
813,500,71
814,502,73
815,502,73
816,502,73
817,502,73
818,502,73
819,500,78
820,500,78
821,500,78
822, -, -
823, -, -
824,497,73
825,497,73
826,497,73
827, -, -
828, -, -
829,502,59
830,502,55
831, -, -
832, -, -
833,503,50
834,502,49
835,503,46
836,503,46
837,503,46
838,503,46
839,500,43
840,500,43
841,500,39
842,500,39
843,500,36
844,500,30
845,500,26
846,500,26
847,505,21
848,506,17
849,505,14
850,506,18
851,508,15
852,509,8
853,515,7
854,516,7
855,516,7
856,518,5
857,531,4
858,528,4
859,536,11
860,531,7
861, -, -
862, -, -
863, -, -
864, -, -
865,536,5
866,542,7
867, -, -
868, -, -
869,544,5
870, -, -
871, -, -
872, -, -
873,553,4
874,553,4
875,562,2
876,559,4
877,564,5
878,564,7
879,571,5
880, -, -
881, -, -
882, -, -
883, -, -
884, -, -
885, -, -
886, -, -
887, -, -
888, -, -
889, -, -
890, -, -
891, -, -
892, -, -
893,590,8
894,593,8
895,593,8
896,595,10
897,598,13
898,601,13
899,604,14
900,604,13
901,604,17
902,609,15
903,612,17
904,627,11
905,639,2
906, -, -
907, -, -
908, -, -
909, -, -
910, -, -
911, -, -
912, -, -
913, -, -
914, -, -
915, -, -
916, -, -
917, -, -
918, -, -
919, -, -
920, -, -
921, -, -
922, -, -
923,921,4
924,936,13
925, -, -
926,968,28
927,982,33
928, -, -
929, -, -
930, -, -
931,1047,81
932,1061,94
933,1073,110
934,1088,121
935,1104,133
936,1118,152
937,1113,162
938,1103,168
939,1095,173
940,1089,165
941,1085,162
942,1078,162
943,1072,155
944,1067,159
945,1058,156
946,1054,156
947,1050,158
948,1044,159
949,1036,162
950,1029,165
951,1026,169
952,1029,171
953,1027,172
954,1024,176
955,1024,176
956,1024,182
957,1023,188
958,1022,195
959,1020,197
960,1020,200
961,1019,197
962,1019,197
963,1016,200
964,1016,202
965,1011,204
966,1008,208
967,1004,207
968,1008,201
969,1002,194
970,998,187
971,993,179
972,989,173
973,983,171
974,980,166
975,974,163
976,973,160
977,970,160
978,962,160
979,961,159
980,957,160
981,951,162
982,948,165
983,942,168
984,939,169
985,934,173
986,930,179
987,926,184
988,920,192
989,917,198
990,915,205
991,911,214
992,903,221
993,903,230
994,897,239
995,890,233
996,889,229
997,883,224
998,875,224
999,869,229
1000,861,234
1001,852,242
1002,840,246
1003,832,250
1004,827,246
1005,819,246
1006,812,247
1007,807,247
1008,800,247
1009,794,252
1010,788,252
1011,782,258
1012,770,259
1013,766,262
1014,763,258
1015,756,258
1016,747,260
1017,742,260
1018,734,265
1019,735,265
1020,719,256
1021,692,247
1022,679,237
1023,658,233
1024,643,223
1025,626,220
1026,608,217
1027,592,213
1028,576,207
1029,556,208
1030,540,207
1031,521,207
1032,506,208
1033,490,207
1034,471,210
1035,454,213
1036,437,217
1037,423,220
1038,404,227
1039,386,233
1040,373,239
1041,358,247
1042,355,252
1043,358,250
1044,358,250
1045,360,252
1046,360,253
1047,363,255
1048,364,256
1049,370,263
1050,370,266
1051,370,271
1052,375,281
1053,378,281
1054,378,292
1055,379,285
1056,376,281
1057,376,281
1058,375,276
1059,376,271
1060,373,269
1061,373,268
1062,373,268
1063,373,268
1064,370,266
1065,370,266
1066,370,266
1067,369,271
1068,367,272
1069,364,276
1070,366,279
1071,366,285
1072,361,291
1073,361,295
1074,361,302
1075,361,310
1076,361,316
1077,357,327
1078,360,334
1079,360,346
1080,355,355
1081,358,368
1082,354,382
1083,357,395
1084,354,408
1085,354,424
1086,354,439
1087,351,456
1088,351,456
1089,351,453
1090,351,450
1091,348,449
1092,348,449
1093,348,449
1094,348,455
1095,344,458
1096,344,458
1097,344,466
1098,344,474
1099,342,481
1100,339,488
1101,339,495
1102,339,511
1103,336,521
1104,336,533
1105,335,540
1106,333,539
1107,332,537
1108,330,537
1109,330,537
1110,329,540
1111,329,543
1112,335,540
1113,347,539
1114,351,539
1115,361,539
1116,372,536
1117,379,540
1118,386,545
1119,395,546
1120,409,549
1121,415,559
1122,423,566
1123,431,574
1124,435,572
1125,440,569
1126,443,565
1127,448,568
1128,450,569
1129,454,571
1130,462,572
1131,463,575
1132,468,579
1133,471,584
1134,475,587
1135,480,584
1136,482,584
1137,488,584
1138,491,585
1139,497,588
1140,497,588
1141,508,597
1142,521,588
1143,574,568
1144,633,547
1145,686,527
1146,735,514
1147,788,497
1148,838,482
1149,889,465
1150,943,450
1151,989,436
1152,1032,420
1153,1078,408
1154,1128,392
1155,1171,382
1156,1218,371
1157,1261,353
1158,1302,349
1159,1344,339
1160,1392,327
1161,1429,318
1162,1472,308
1163,1510,301
1164,1552,292
1165,1586,291
1166,1632,285
1167,1671,284
1168,1705,275
1169,1747,272
1170,1782,271
1171,1822,269
1172,1852,259
1173,1894,271
1174,1920,268
1175, -, -
1176, -, -
1177, -, -
1178, -, -
1179, -, -
1180, -, -
1181, -, -
1182, -, -
1183, -, -
1184, -, -
1185, -, -
1186, -, -
1187, -, -
1188, -, -
1189, -, -
1190, -, -
1191, -, -
1192, -, -
1193, -, -
1194, -, -
1195, -, -
1196, -, -
1197, -, -
1198, -, -
1199, -, -
1200, -, -
1201, -, -
1202, -, -
1203, -, -
1204, -, -
1205, -, -
1206, -, -
1207, -, -
1208, -, -
1209, -, -
1210, -, -
1211, -, -
1212, -, -
1213, -, -
1214, -, -
1215, -, -
1216, -, -
1217, -, -
1218, -, -
1219, -, -
1220, -, -
1221, -, -
1222, -, -
1223, -, -
1224, -, -
1225, -, -
1226, -, -
1227, -, -
1228, -, -
1229, -, -
1230, -, -
1231, -, -
1232, -, -
1233, -, -
1234, -, -
1235, -, -
1236, -, -
1237, -, -
1238, -, -
1239, -, -
1240, -, -
1241, -, -
1242, -, -
1243, -, -
1244, -, -
1245, -, -
1246, -, -
1247, -, -
1248, -, -
1249, -, -
1250, -, -
1251, -, -
1252, -, -
1253, -, -
1254, -, -
1255, -, -
1256, -, -
1257, -, -
1258, -, -
1259, -, -
1260, -, -
1261, -, -
1262, -, -
1263, -, -
1264, -, -
1265, -, -
1266, -, -
1267, -, -
1268, -, -
1269, -, -
1270, -, -
1271, -, -
1272, -, -
1273, -, -
1274, -, -
1275, -, -
1276, -, -
1277, -, -
1278, -, -
1279, -, -
1280, -, -
1281, -, -
1282, -, -
1283, -, -
1284, -, -
1285, -, -
1286, -, -
1287, -, -
1288, -, -
1289, -, -
1290, -, -
1291, -, -
1292, -, -
1293, -, -
1294, -, -
1295, -, -
1296, -, -
1297, -, -
1298, -, -
1299, -, -
1300, -, -
1301, -, -
1302, -, -
1303, -, -
1304, -, -
1305, -, -
1306, -, -
1307, -, -
1308, -, -
1309, -, -
1310, -, -
1311, -, -
1312, -, -
1313, -, -
1314, -, -
1315, -, -
1316, -, -
1317, -, -
1318, -, -
1319, -, -
1320, -, -
1321, -, -
1322, -, -
1323, -, -
1324, -, -
1325, -, -
1326, -, -
1327, -, -
1328, -, -
1329, -, -
1330, -, -
1331, -, -
1332, -, -
1333, -, -
1334, -, -
1335, -, -
1336, -, -
1337, -, -
1338, -, -
1339, -, -
1340, -, -
1341, -, -
1342, -, -
1343, -, -
1344, -, -
1345, -, -
1346, -, -
1347, -, -
1348, -, -
1349, -, -
1350, -, -
1351, -, -
1352, -, -
1353, -, -
1354, -, -
1355, -, -
1356, -, -
1357, -, -
1358, -, -
1359, -, -
1360, -, -
1361, -, -
1362, -, -
1363, -, -
1364, -, -
1365, -, -
1366, -, -
1367, -, -
1368, -, -
1369, -, -
1370, -, -
1371, -, -
1372, -, -
1373, -, -
1374, -, -
1375, -, -
1376, -, -
1377, -, -
1378, -, -
1379, -, -
1380, -, -
1381, -, -
1382, -, -
1383, -, -
1384, -, -
1385, -, -
1386, -, -
1387, -, -
1388, -, -
1389, -, -
1390, -, -
1391, -, -
1392, -, -
1393, -, -
1394, -, -
1395, -, -
1396, -, -
1397, -, -
1398, -, -
1399, -, -
1400, -, -
1401, -, -
1402, -, -
1403, -, -
1404, -, -
1405, -, -
1406, -, -
1407, -, -
1408, -, -
1409, -, -
1410, -, -
1411, -, -
1412, -, -
1413, -, -
1414, -, -
1415, -, -
1416, -, -
1417, -, -
1418, -, -
1419, -, -
1420, -, -
1421, -, -
1422, -, -
1423, -, -
1424, -, -
1425, -, -
1426, -, -
1427, -, -
1428, -, -
1429, -, -
1430, -, -
1431, -, -
1432, -, -
1433, -, -
1434, -, -
1435, -, -
1436, -, -
1437, -, -
1438, -, -
1439, -, -
1440, -, -
1441, -, -
1442, -, -
1443, -, -
1444, -, -
1445, -, -
1446, -, -
1447, -, -
1448, -, -
1449, -, -
1450, -, -
1451, -, -
1452, -, -
1453, -, -
1454, -, -
1455, -, -
1456, -, -
1457, -, -
1458, -, -
1459, -, -
1460, -, -
1461, -, -
1462, -, -
1463, -, -
1464, -, -
1465, -, -
1466, -, -
1467, -, -
1468, -, -
1469, -, -
1470, -, -
1471, -, -
1472, -, -
1473, -, -
1474, -, -
1475, -, -
1476, -, -
1477, -, -
1478, -, -
1479, -, -
1480, -, -
1481, -, -
1482, -, -
1483, -, -
1484, -, -
1485, -, -
1486, -, -
1487, -, -
1488, -, -
1489, -, -
1490, -, -
1491, -, -
1492, -, -
1493, -, -
1494, -, -
1495, -, -
1496, -, -
1497, -, -
1498, -, -
1499, -, -
1500, -, -
1501, -, -
1502, -, -
1503, -, -
1504, -, -
1505, -, -
1506, -, -
1507, -, -
1508, -, -
1509, -, -
1510, -, -
1511, -, -
1512, -, -
1513, -, -
1514, -, -
1515, -, -
1516, -, -
1517, -, -
1518, -, -
1519, -, -
1520, -, -
1521, -, -
1522, -, -
1523, -, -
1524, -, -
1525, -, -
1526, -, -
1527, -, -
1528, -, -
1529, -, -
1530, -, -
1531, -, -
1532, -, -
1533, -, -
1534, -, -
1535, -, -
1536, -, -
1537, -, -
1538, -, -
1539, -, -
1540, -, -
1541, -, -
1542, -, -
1543, -, -
1544, -, -
1545, -, -
1546, -, -
1547, -, -
1548, -, -
1549, -, -
1550, -, -
1551, -, -
1552, -, -
1553, -, -
1554, -, -
1555, -, -
1556, -, -
1557, -, -
1558, -, -
1559, -, -
1560, -, -
1561, -, -
1562, -, -
1563, -, -
1564, -, -
1565, -, -
1566, -, -
1567, -, -
1568, -, -
1569, -, -
1570, -, -
1571, -, -
1572, -, -
1573, -, -
1574, -, -
1575, -, -
1576, -, -
1577, -, -
1578, -, -
1579, -, -
1580, -, -
1581, -, -
1582, -, -
1583, -, -
1584, -, -
1585, -, -
1586, -, -
1587, -, -
1588, -, -
1589, -, -
1590, -, -
1591, -, -
1592, -, -
1593, -, -
1594, -, -
1595, -, -
1596, -, -
1597, -, -
1598, -, -
1599, -, -
1600, -, -
1601, -, -
1602, -, -
1603, -, -
1604, -, -
1605, -, -
1606, -, -
1607, -, -
1608, -, -
1609, -, -
1610, -, -
1611, -, -
1612, -, -
1613, -, -
1614, -, -
1615, -, -
1616, -, -
1617, -, -
1618, -, -
1619, -, -
1620, -, -
1621, -, -
1622, -, -
1623, -, -
1624, -, -
1625, -, -
1626, -, -
1627, -, -
1628, -, -
1629, -, -
1630, -, -
1631, -, -
1632, -, -
1633, -, -
1634, -, -
1635, -, -
1636, -, -
1637, -, -
1638, -, -
1639, -, -
1640, -, -
1641, -, -
1642, -, -
1643, -, -
1644, -, -
1645, -, -
1646, -, -
1647, -, -
1648, -, -
1649, -, -
1650, -, -
1651, -, -
1652, -, -
1653, -, -
1654, -, -
1655, -, -
1656, -, -
1657, -, -
1658, -, -
1659, -, -
1660, -, -
1661, -, -
1662, -, -
1663, -, -
1664, -, -
1665, -, -
1666, -, -
1667, -, -
1668, -, -
1669, -, -
1670, -, -
1671, -, -
1672, -, -
1673, -, -
1674, -, -
1675, -, -
1676, -, -
1677, -, -
1678, -, -
1679, -, -
1680, -, -
1681, -, -
1682, -, -
1683, -, -
1684, -, -
1685, -, -
1686, -, -
1687, -, -
1688, -, -
1689, -, -
1690, -, -
1691, -, -
1692, -, -
1693, -, -
1694, -, -
1695, -, -
1696, -, -
1697, -, -
1698, -, -
1699, -, -
1700, -, -
1701, -, -
1702, -, -
1703, -, -
1704, -, -
1705, -, -
1706, -, -
1707, -, -
1708, -, -
1709, -, -
1710, -, -
1711, -, -
1712, -, -
1713, -, -
1714, -, -
1715, -, -
1716, -, -
1717, -, -
1718, -, -
1719, -, -
1720, -, -
1721, -, -
1722, -, -
1723, -, -
1724, -, -
1725, -, -
1726, -, -
1727, -, -
1728, -, -
1729, -, -
1730, -, -
1731, -, -
1732, -, -
1733, -, -
1734, -, -
1735, -, -
1736, -, -
1737, -, -
1738, -, -
1739, -, -
1740, -, -
1741, -, -
1742, -, -
1743, -, -
1744, -, -
1745, -, -
1746, -, -
1747, -, -
1748, -, -
1749, -, -
1750, -, -
1751, -, -
1752, -, -
1753, -, -
1754, -, -
1755, -, -
1756, -, -
1757, -, -
1758, -, -
1759, -, -
1760, -, -
1761, -, -
1762, -, -
1763, -, -
1764, -, -
1765, -, -
1766, -, -
1767, -, -
1768, -, -
1769, -, -
1770, -, -
1771, -, -
1772, -, -
1773, -, -
1774, -, -
1775, -, -
1776, -, -
1777, -, -
1778, -, -
1779, -, -
1780, -, -
1781, -, -
1782, -, -
1783, -, -
1784, -, -
1785, -, -
1786, -, -
1787, -, -
1788, -, -
1789, -, -
1790, -, -
1791, -, -
1792,1920,158
1793,1912,156
1794,1900,158
1795,1890,158
1796,1886,159
1797,1875,159
1798,1865,158
1799,1857,158
1800,1846,158
1801,1837,160
1802,1826,158
1803,1819,158
1804,1809,159
1805,1797,156
1806,1791,158
1807,1781,159
1808,1776,156
1809,1766,155
1810,1757,158
1811,1757,159
1812,1754,160
1813,1750,168
1814,1751,175
1815,1747,176
1816,1744,178
1817,1742,182
1818,1739,184
1819,1738,188
1820,1736,189
1821,1730,191
1822,1728,194
1823,1728,197
1824,1719,200
1825,1723,205
1826,1720,202
1827,1719,205
1828,1716,210
1829,1711,213
1830,1710,214
1831,1705,220
1832,1705,220
1833,1699,223
1834,1698,227
1835,1698,227
1836,1692,231
1837,1692,231
1838,1689,236
1839,1683,237
1840,1683,237
1841,1677,239
1842,1674,242
1843,1668,244
1844,1668,244
1845,1663,249
1846,1663,249
1847,1657,249
1848,1657,252
1849,1652,252
1850,1648,255
1851,1645,256
1852,1643,262
1853,1637,265
1854,1634,265
1855,1634,265
1856,1629,268
1857,1629,268
1858,1624,266
1859,1620,271
1860,1617,273
1861,1617,273
1862,1612,278
1863,1609,276
1864,1605,278
1865,1603,276
1866,1600,282
1867,1598,284
1868,1595,281
1869,1587,285
1870,1578,291
1871,1571,295
1872, -, -
1873, -, -
1874, -, -
1875, -, -
1876, -, -
1877, -, -
1878, -, -
1879,1496,337
1880,1485,345
1881,1479,347
1882,1473,352
1883,1463,355
1884,1454,360
1885,1444,363
1886,1435,366
1887,1435,366
1888,1429,363
1889,1423,359
1890,1420,358
1891,1419,355
1892,1413,353
1893,1411,352
1894,1406,355
1895,1400,359
1896,1397,359
1897,1391,365
1898,1383,365
1899,1383,365
1900,1376,359
1901,1370,362
1902,1366,365
1903,1357,368
1904,1348,368
1905,1339,371
1906,1330,372
1907,1327,374
1908,1318,375
1909,1311,378
1910,1304,378
1911,1299,379
1912,1290,381
1913,1289,382
1914,1279,385
1915,1274,384
1916,1267,387
1917,1262,387
1918,1255,387
1919,1252,391
1920,1245,389
1921,1242,389
1922,1237,388
1923,1231,391
1924,1225,391
1925,1219,392
1926,1212,394
1927,1212,394
1928,1203,394
1929,1197,397
1930,1196,391
1931,1188,395
1932,1184,394
1933,1180,401
1934,1177,397
1935,1172,400
1936,1166,398
1937,1160,401
1938,1160,401
1939,1159,404
1940,1154,410
1941,1153,405
1942,1147,413
1943,1143,416
1944,1144,414
1945,1140,421
1946,1135,416
1947,1134,426
1948,1131,423
1949,1126,426
1950,1123,430
1951,1119,427
1952,1118,432
1953,1113,433
1954,1107,434
1955,1106,437
1956,1106,437
1957,1101,439
1958,1097,439
1959,1097,440
1960,1092,443
1961,1092,443
1962,1097,446
1963,1097,446
1964,1100,447
1965,1103,450
1966,1104,453
1967,1104,453
1968,1109,455
1969,1109,455
1970,1109,456
1971,1112,459
1972,1115,462
1973,1123,466
1974,1137,472
1975,1149,476
1976,1156,485
1977,1169,494
1978,1180,495
1979,1190,500
1980,1197,508
1981,1209,517
1982,1221,521
1983,1230,526
1984,1239,532
1985,1246,536
1986,1256,540
1987,1268,546
1988,1277,550
1989,1283,555
1990,1290,559
1991,1298,565
1992,1304,571
1993,1312,574
1994,1318,578
1995,1327,584
1996,1333,585
1997,1336,590
1998,1348,594
1999,1355,598
2000,1360,601
2001,1367,597
2002,1377,605
2003,1380,611
2004,1385,614
2005,1395,621
2006,1400,629
2007,1407,632
2008,1414,633
2009,1420,633
2010,1426,643
2011,1434,646
2012,1442,643
2013,1447,650
2014,1454,658
2015,1462,661
2016,1466,663
2017,1473,669
2018,1453,678
2019,1426,678
2020,1401,684
2021,1375,694
2022,1345,704
2023,1321,713
2024,1293,727
2025,1265,740
2026,1245,742
2027,1224,749
2028,1197,755
2029,1174,765
2030,1153,774
2031,1128,782
2032,1103,798
2033,1088,806
2034,1067,810
2035,1045,814
2036,1027,821
2037,1008,833
2038,988,843
2039,968,853
2040,946,868
2041,927,875
2042,914,881
2043,895,887
2044,878,897
2045,861,906
2046,849,916
2047,828,923
2048,815,927
2049,804,933
2050,788,942
2051,778,950
2052,765,959
2053,751,966
2054,729,972
2055,732,978
2056,736,975
2057,742,969
2058,754,962
2059,757,961
2060,766,959
2061,766,959
2062,773,959
2063,784,964
2064,791,965
2065,797,968
2066,801,974
2067,804,977
2068,804,974
2069,812,974
2070,815,974
2071,818,974
2072,818,974
2073,861,969
2074,899,961
2075,942,955
2076,983,949
2077,1020,943
2078,1057,940
2079,1094,933
2080,1132,926
2081,1162,920
2082,1196,913
2083,1231,910
2084,1264,907
